Date,Open,High,Low,Close,Adj Close,Volume
2001-07-02,513.280029,513.280029,482.140015,483.260010,483.260010,3742010000
2001-07-09,483.260010,491.690002,471.359985,490.709991,490.709991,6209300000
2001-07-16,489.869995,491.399994,481.649994,487.929993,487.929993,6108600000
2001-07-23,487.929993,489.510010,471.519989,485.010010,485.010010,5695500000
2001-07-30,485.010010,491.890015,481.339996,487.149994,487.149994,5536800000
2001-08-06,487.140015,487.140015,469.500000,475.519989,475.519989,5013400000
2001-08-13,475.519989,482.609985,474.059998,475.649994,475.649994,4897500000
2001-08-20,475.649994,480.980011,470.630005,480.809998,480.809998,5079300000
2001-08-27,480.809998,481.809998,465.420013,468.559998,468.559998,4870500000
2001-09-03,468.559998,472.809998,442.989990,445.190002,445.190002,5346800000
2001-09-10,445.190002,445.190002,437.500000,440.730011,440.730011,1276600000
2001-09-17,440.730011,440.730011,373.619995,378.890015,378.890015,10423890000
2001-09-24,378.899994,404.880005,378.899994,404.869995,404.869995,8073900000
2001-10-01,404.869995,420.570007,393.000000,414.970001,414.970001,7032260000
2001-10-08,414.970001,433.100006,407.869995,428.589996,428.589996,6555180000
2001-10-15,428.589996,437.230011,419.489990,425.700012,425.700012,6245200000
2001-10-22,425.700012,439.809998,422.200012,438.649994,438.649994,6368100000
2001-10-29,438.649994,438.880005,420.109985,433.070007,433.070007,6195300000
2001-11-05,433.070007,446.109985,433.070007,438.100006,438.100006,6646300000
2001-11-12,438.100006,453.040009,432.149994,451.309998,451.309998,6597000000
2001-11-19,451.309998,458.820007,449.950012,458.420013,458.420013,4086600000
2001-11-26,458.429993,465.920013,453.700012,460.779999,460.779999,6560800000
2001-12-03,460.790009,483.040009,455.510010,481.209991,481.209991,7022800000
2001-12-10,481.209991,481.209991,467.109985,471.290009,471.290009,6853900000
2001-12-17,471.290009,485.489990,470.730011,484.019989,484.019989,7283800000
2001-12-24,484.019989,494.709991,483.540009,493.619995,493.619995,3024470000
2001-12-31,493.619995,500.670013,479.200012,499.299988,499.299988,5026500000
2002-01-07,499.950012,503.079987,489.929993,489.940002,489.940002,6530000000
2002-01-14,489.940002,489.940002,474.329987,474.369995,474.369995,6869200000
2002-01-21,474.369995,481.329987,468.040009,479.350006,479.350006,5688700000
2002-01-28,479.350006,484.000000,468.380005,480.040009,480.040009,7942600000
2002-02-04,480.040009,480.079987,457.940002,466.670013,466.670013,7695200000
2002-02-11,466.670013,477.359985,466.450012,469.250000,469.250000,6101200000
2002-02-18,469.250000,469.250000,457.049988,465.070007,465.070007,5421400000
2002-02-25,465.070007,478.339996,464.559998,478.339996,478.339996,6919100000
2002-03-04,478.339996,500.649994,478.339996,499.850006,499.850006,7614300000
2002-03-11,499.850006,502.059998,493.540009,499.119995,499.119995,6571300000
2002-03-18,499.119995,507.529999,497.910004,502.390015,502.390015,6311900000
2002-03-25,502.399994,509.190002,496.010010,506.459991,506.459991,4609200000
2002-04-01,506.459991,506.459991,494.739990,497.760010,497.760010,5841300000
2002-04-08,497.760010,515.469971,493.760010,515.460022,515.460022,6566300000
2002-04-15,515.460022,523.789978,510.429993,517.400024,517.400024,6382900000
2002-04-22,517.400024,517.400024,501.290009,501.500000,501.500000,6835100000
2002-04-29,501.500000,514.169983,498.079987,512.320007,512.320007,7043200000
2002-05-06,512.320007,513.080017,492.239990,492.730011,492.730011,6304200000
2002-05-13,492.730011,515.260010,492.420013,508.940002,508.940002,6454300000
2002-05-20,508.940002,508.940002,490.230011,493.640015,493.640015,5373600000
2002-05-27,493.640015,495.220001,482.600006,487.470001,487.470001,4642200000
2002-06-03,487.470001,487.589996,459.760010,470.510010,470.510010,7033800000
2002-06-10,470.399994,473.500000,446.660004,459.070007,459.070007,7388800000
2002-06-17,459.070007,474.640015,458.799988,461.070007,461.070007,6652700000
2002-06-24,461.070007,464.940002,441.760010,462.640015,462.640015,7428470000
2002-07-01,462.630005,462.630005,422.350006,440.920013,440.920013,5475700000
2002-07-08,440.920013,441.549988,408.170013,413.279999,413.279999,8038080000
2002-07-15,413.279999,415.260010,385.070007,386.200012,386.200012,11375400000
2002-07-22,386.200012,389.109985,354.109985,382.260010,382.260010,11685440000
2002-07-29,382.260010,402.320007,376.450012,376.450012,376.450012,8864400000
2002-08-05,376.450012,391.299988,367.119995,388.450012,388.450012,7371600000
2002-08-12,388.450012,396.890015,374.029999,395.970001,395.970001,6638400000
2002-08-19,395.970001,410.920013,395.390015,400.130005,400.130005,6405900000
2002-08-26,400.130005,408.880005,387.230011,390.959991,390.959991,5672200000
2002-09-02,390.959991,391.959991,379.089996,391.570007,391.570007,5247700000
2002-09-09,391.570007,397.549988,383.600006,389.989990,389.989990,5626200000
2002-09-16,389.989990,389.989990,365.369995,367.279999,367.279999,7267800000
2002-09-23,367.279999,371.029999,355.089996,361.779999,361.779999,7860140000
2002-09-30,361.779999,369.679993,346.429993,347.980011,347.980011,8682100000
2002-10-07,347.980011,347.980011,324.899994,344.929993,344.929993,9344320000
2002-10-14,344.929993,364.290009,342.829987,363.369995,363.369995,7944790000
2002-10-21,363.369995,372.640015,359.790009,372.640015,372.640015,7631070000
2002-10-28,372.640015,383.450012,362.640015,383.450012,383.450012,7426300000
2002-11-04,383.450012,392.730011,377.970001,379.000000,379.000000,7587400000
2002-11-11,379.000000,387.140015,369.140015,385.920013,385.920013,6841700000
2002-11-18,385.920013,400.700012,379.160004,400.000000,400.000000,8179200000
2002-11-25,400.000000,411.130005,397.149994,406.350006,406.350006,5111360000
2002-12-02,406.359985,413.640015,390.859985,396.720001,396.720001,7180600000
2002-12-09,396.720001,396.720001,385.929993,387.980011,387.980011,6478600000
2002-12-16,387.980011,394.899994,381.290009,386.880005,386.880005,7138230000
2002-12-23,386.899994,392.209991,383.589996,384.160004,384.160004,3049910000
2002-12-30,384.160004,392.600006,379.670013,390.309998,390.309998,4506300000
2003-01-06,390.309998,397.989990,389.070007,396.440002,396.440002,7494400000
2003-01-13,396.440002,399.549988,387.279999,388.100006,388.100006,7100600000
2003-01-20,388.100006,389.040009,375.059998,375.059998,375.059998,6215350000
2003-01-27,375.059998,375.799988,366.589996,372.170013,372.170013,7579230000
2003-02-03,372.170013,373.730011,358.779999,358.779999,358.779999,6868600000
2003-02-10,358.779999,363.579987,351.779999,358.500000,358.500000,6699600000
2003-02-17,358.500000,364.929993,358.200012,364.359985,364.359985,4918700000
2003-02-24,364.359985,364.359985,354.089996,360.519989,360.519989,6748400000
2003-03-03,360.519989,364.630005,350.980011,354.179993,354.179993,6465900000
2003-03-10,354.179993,357.500000,343.059998,354.390015,354.390015,7660900000
2003-03-17,354.390015,376.369995,352.380005,376.230011,376.230011,8051730000
2003-03-24,376.239990,376.239990,365.089996,368.700012,368.700012,6406000000
2003-03-31,368.670013,377.630005,361.910004,373.279999,373.279999,7139600000
2003-04-07,373.279999,382.980011,371.000000,371.299988,371.299988,6440000000
2003-04-14,371.299988,383.769989,371.299988,383.700012,383.700012,5609400000
2003-04-21,383.700012,395.010010,382.890015,388.500000,388.500000,7401000000
2003-04-28,388.500000,407.670013,388.500000,407.670013,407.670013,7538910000
2003-05-05,407.670013,413.790009,406.920013,413.529999,413.529999,7333500000
2003-05-12,413.529999,422.239990,412.700012,414.690002,414.690002,7212900000
2003-05-19,414.690002,418.640015,406.190002,418.399994,418.399994,6988300000
2003-05-26,418.399994,441.010010,417.820007,441.000000,441.000000,6465600000
2003-06-02,441.000000,465.730011,440.630005,453.940002,453.940002,8261700000
2003-06-09,453.940002,458.010010,444.559998,449.709991,449.709991,6927100000
2003-06-16,449.709991,460.079987,449.230011,449.559998,449.559998,7542600000
2003-06-23,449.559998,455.140015,437.200012,448.750000,448.750000,6900800000
2003-06-30,448.750000,459.029999,441.220001,456.350006,456.350006,5342600000
2003-07-07,456.350006,477.880005,456.350006,473.769989,473.769989,7291200000
2003-07-14,473.769989,481.369995,459.700012,464.760010,464.760010,7656100000
2003-07-21,464.760010,472.510010,456.540009,468.880005,468.880005,7013100000
2003-07-28,468.880005,478.799988,467.190002,468.079987,468.079987,7228000000
2003-08-04,468.079987,468.119995,449.970001,453.940002,453.940002,6637300000
2003-08-11,453.940002,473.649994,453.940002,471.920013,471.920013,5186470000
2003-08-18,471.920013,497.790009,471.920013,485.510010,485.510010,6355000000
2003-08-25,485.510010,499.420013,477.510010,497.420013,497.420013,5312100000
2003-09-01,497.420013,514.909973,496.730011,508.869995,508.869995,6065200000
2003-09-08,508.869995,517.210022,501.549988,509.059998,509.059998,6868800000
2003-09-15,509.059998,520.609985,507.470001,520.200012,520.200012,6910110000
2003-09-22,520.200012,520.200012,485.269989,485.290009,485.290009,7139000000
2003-09-29,485.290009,513.619995,482.130005,512.280029,512.280029,7363100000
2003-10-06,512.280029,526.400024,510.959991,519.059998,519.059998,6254600000
2003-10-13,519.059998,534.219971,519.059998,520.359985,520.359985,6603200000
2003-10-20,520.359985,526.419983,503.880005,506.429993,506.429993,7342400000
2003-10-27,506.429993,536.409973,506.429993,528.219971,528.219971,7692200000
2003-11-03,528.219971,546.919983,528.219971,542.960022,542.960022,7092000000
2003-11-10,542.960022,544.919983,526.760010,532.960022,532.960022,6494500000
2003-11-17,532.960022,532.960022,519.840027,525.929993,525.929993,6655300000
2003-11-24,525.929993,547.559998,525.929993,546.510010,546.510010,4221420000
2003-12-01,546.510010,557.419983,537.229980,539.010010,539.010010,6928900000
2003-12-08,539.010010,547.590027,526.419983,547.590027,547.590027,6792600000
2003-12-15,547.590027,553.380005,529.440002,546.880005,546.880005,7747600000
2003-12-22,546.880005,555.099976,544.859985,554.900024,554.900024,3271130000
2003-12-29,554.900024,566.739990,554.900024,560.849976,560.849976,4252100000
2004-01-05,560.849976,581.900024,560.849976,575.200012,575.200012,8366700000
2004-01-12,575.200012,591.989990,575.039978,590.409973,590.409973,8036800000
2004-01-19,590.409973,600.609985,589.919983,596.140015,596.140015,6630100000
2004-01-26,596.140015,601.500000,573.340027,580.760010,580.760010,8914550000
2004-02-02,580.760010,585.070007,564.030029,584.070007,584.070007,7755100000
2004-02-09,584.070007,597.080017,583.580017,585.140015,585.140015,7200200000
2004-02-16,585.140015,596.000000,575.469971,579.890015,579.890015,5821300000
2004-02-23,579.890015,587.059998,566.210022,585.559998,585.559998,7209000000
2004-03-01,585.559998,603.159973,585.559998,599.539978,599.539978,6971600000
2004-03-08,599.539978,603.109985,568.700012,582.840027,582.840027,7680600000
2004-03-15,582.840027,582.960022,562.669983,570.739990,570.739990,7418000000
2004-03-22,570.739990,575.559998,556.130005,572.919983,572.919983,7229100000
2004-03-29,572.919983,604.219971,572.919983,603.450012,603.450012,7488500000
2004-04-05,603.419983,606.419983,595.229980,597.880005,597.880005,5470000000
2004-04-12,597.880005,603.039978,575.809998,583.369995,583.369995,7129800000
2004-04-19,583.369995,594.359985,573.590027,590.710022,590.710022,7664300000
